Federico Dimarco	,Serie A,Italy,Italy,5000000,5000000,2019-06-06 00:00:00,Inter
Federico Marchetti	,Serie A,Italy,Italy,300000,13000000,2013-06-19 00:00:00,Genoa
Federico Mattiello	,Serie A,Italy,Italy,2500000,3000000,2018-12-20 00:00:00,Cagliari Calcio
Federico Peluso	,Serie A,Italy,Italy,500000,5000000,2013-01-15 00:00:00,Sassuolo
Filippo Falco	,Serie A,Italy,Italy,4000000,4000000,2019-10-08 00:00:00,Lecce
Filippo Romagna	,Serie A,Italy,Italy,6000000,7000000,2018-03-24 00:00:00,Sassuolo
Francesco Acerbi	,Serie A,Italy,Italy,12000000,12000000,2017-06-08 00:00:00,Lazio
Francesco Caputo	,Serie A,Italy,Italy,5000000,5000000,2019-10-08 00:00:00,Sassuolo
Francesco Cassata	,Serie A,Italy,Italy,3500000,3500000,2017-10-13 00:00:00,Genoa
Francesco Magnanelli	,Serie A,Italy,Italy,800000,3000000,2016-07-15 00:00:00,Sassuolo
Francesco Rossi	,Serie A,Italy,Italy,100000,175000,2013-02-27 00:00:00,Atalanta
Francesco Vicari	,Serie A,Italy,Italy,5000000,5000000,2019-06-06 00:00:00,SPAL
Frank Tsadjout	,Jupiler Pro League,Italy,Italy,300000,300000,2019-09-13 00:00:00,RSC Charleroi
Gabriele Corbo	,Serie A,Italy,Italy,800000,800000,2019-06-14 00:00:00,Bologna
Gabriele Moncini	,Serie A,Italy,Italy,2000000,2000000,2019-06-05 00:00:00,SPAL
Gaetano Castrovilli	,Serie A,Italy,Italy,8000000,8000000,2019-10-08 00:00:00,Fiorentina
Gennaro Tutino	,Serie A,Italy,Italy,2500000,2500000,2019-06-05 00:00:00,Hellas Verona
Giacomo Bonaventura	,Serie A,Italy,Italy,20000000,24000000,2017-01-02 00:00:00,AC Milan
Giacomo Raspadori	,Serie A,Italy,Italy,500000,500000,2018-12-20 00:00:00,Sassuolo
Giampaolo Pazzini	,Serie A,Italy,Italy,500000,21000000,2011-06-21 00:00:00,Hellas Verona
Gian Marco Ferrari	,Serie A,Italy,Italy,14000000,14000000,2018-12-20 00:00:00,Sassuolo
Giangiacomo Magnani	,Serie A,Italy,Italy,5000000,5000000,2018-12-20 00:00:00,Brescia
Gianluca Caprari	,Serie A,Italy,Italy,10000000,10000000,2018-10-12 00:00:00,Sampdoria
Gianluca Lapadula	,Serie A,Italy,Italy,5000000,8000000,2017-01-02 00:00:00,Lecce
Gianluca Mancini	,Serie A,Italy,Italy,22000000,22000000,2019-06-06 00:00:00,AS Roma
Gianluca Pegolo	,Serie A,Italy,Italy,150000,2000000,2013-06-19 00:00:00,Sassuolo
Gianluigi Buffon	,Serie A,Italy,Italy,1000000,35000000,2005-07-28 00:00:00,Juventus
Gianluigi Donnarumma	,Serie A,Italy,Italy,55000000,55000000,2019-06-06 00:00:00,AC Milan
Gianmarco Chironi	,Serie A,Italy,Italy,50000,75000,2016-06-30 00:00:00,Lecce
Giorgio Chiellini	,Serie A,Italy,Italy,7500000,28500000,2012-07-03 00:00:00,Juventus
Giovanni Di Lorenzo	,Serie A,Italy,Italy,15000000,15000000,2019-10-08 00:00:00,SSC Napoli
Giuseppe Pezzella	,Serie A,Italy,Italy,3000000,3000000,2018-06-07 00:00:00,Parma
Guido Guerrieri	,Serie A,Italy,Italy,300000,400000,2016-12-19 00:00:00,Lazio
Jacopo Petriccione	,Serie A,Italy,Italy,2000000,2000000,2019-06-05 00:00:00,Lecce
Jacopo Sala	,Serie A,Italy,Italy,1600000,2500000,2015-07-01 00:00:00,SPAL
Jorginho	,Premier League,Italy,Italy,65000000,65000000,2018-12-19 00:00:00,Chelsea
Joyce Anacoura	,Liga NOS,Italy,Italy,150000,150000,2019-06-29 00:00:00,Marítimo
Kevin Bonifazi	,Serie A,Italy,Italy,5500000,5500000,2019-06-06 00:00:00,Torino
Kevin Lasagna	,Serie A,Italy,Italy,7500000,8000000,2018-12-20 00:00:00,Udinese Calcio
Leonardo Bonucci	,Serie A,Italy,Italy,28000000,45000000,2017-06-08 00:00:00,Juventus
Leonardo Fontanesi	,Serie A,Italy,Italy,150000,300000,2015-06-17 00:00:00,Sassuolo
Leonardo Morosini	,Serie A,Italy,Italy,1500000,2200000,2016-12-19 00:00:00,Brescia
Leonardo Pavoletti	,Serie A,Italy,Italy,12000000,13000000,2017-01-02 00:00:00,Cagliari Calcio
